Time,Ambient,Heater,Duty Cycle
2019-04-25 18:36:53,20.5,50.0,3.0
2019-04-25 18:36:53,20.5,50.25
2019-04-25 18:36:54,20.5,49.75,9.3
2019-04-25 18:36:54,20.5,50.25
2019-04-25 18:36:55,20.5,50.0,15.7
2019-04-25 18:36:55,20.5,50.25
2019-04-25 18:36:55,20.5,50.25,9.3
2019-04-25 18:36:56,20.5,50.0,1.3
2019-04-25 18:36:56,20.5,50.25
2019-04-25 18:36:56,20.5,50.25,9.3
2019-04-25 18:36:57,20.5,50.0,1.3
2019-04-25 18:36:57,20.5,50.25
2019-04-25 18:36:57,20.5,50.25,9.2
2019-04-25 18:36:58,20.62,49.75,1.3
2019-04-25 18:36:58,20.5,50.25
2019-04-25 18:36:59,20.5,50.0,15.6
2019-04-25 18:36:59,20.5,50.25
2019-04-25 18:36:59,20.5,50.25,9.2
2019-04-25 18:37:00,20.5,50.75,1.2
2019-04-25 18:37:00,21.12,50.0,11.1
2019-04-25 18:37:00,20.5,50.25
2019-04-25 18:37:01,20.5,50.0,12.3
2019-04-25 18:37:01,20.5,50.0
2019-04-25 18:37:02,20.5,50.0,5.0
2019-04-25 18:37:02,20.5,50.0,3.4
2019-04-25 18:37:02,20.5,50.0,3.4
2019-04-25 18:37:03,20.5,50.0,3.4
2019-04-25 18:37:03,20.5,50.0,3.4
2019-04-25 18:37:03,20.5,50.0,3.4
2019-04-25 18:37:04,20.5,50.0,3.4
2019-04-25 18:37:04,20.5,50.75,3.4
2019-04-25 18:37:05,20.5,50.0,15.9
2019-04-25 18:37:05,20.5,50.25
2019-04-25 18:37:05,20.5,50.0,12.2
2019-04-25 18:37:06,20.5,50.25
2019-04-25 18:37:06,20.5,50.0,9.1
2019-04-25 18:37:06,20.5,50.25
2019-04-25 18:37:07,20.5,50.25,9.1
2019-04-25 18:37:07,20.5,49.75,1.1
2019-04-25 18:37:08,20.5,50.25
2019-04-25 18:37:08,20.5,50.25,15.4
2019-04-25 18:37:08,20.5,50.25
2019-04-25 18:37:09,20.5,50.25,2.6
2019-04-25 18:37:09,20.5,50.25,2.6
2019-04-25 18:37:09,20.5,50.0,2.6
2019-04-25 18:37:10,20.5,50.25
2019-04-25 18:37:10,20.5,50.5,8.9
2019-04-25 18:37:10,20.87,50.0,5.2
2019-04-25 18:37:11,20.5,50.25
2019-04-25 18:37:11,20.5,50.25,10.5
2019-04-25 18:37:12,20.5,50.5,1.0
2019-04-25 18:37:12,20.5,50.25,6.7
2019-04-25 18:37:12,20.44,50.25
2019-04-25 18:37:13,20.5,50.25,4.1
2019-04-25 18:37:13,20.5,50.25,2.5
2019-04-25 18:37:13,20.5,50.25,2.5
2019-04-25 18:37:14,20.5,50.25,2.4
2019-04-25 18:37:14,20.5,50.25,2.4
2019-04-25 18:37:15,20.5,49.75,2.4
2019-04-25 18:37:15,20.25,50.25
2019-04-25 18:37:15,20.5,50.0,15.1
2019-04-25 18:37:16,20.5,50.25
2019-04-25 18:37:16,20.5,50.25,8.8
2019-04-25 18:37:16,20.5,50.0,0.8
2019-04-25 18:37:17,20.5,50.25
2019-04-25 18:37:17,20.5,50.25,8.7
2019-04-25 18:37:18,20.5,50.5,0.8
2019-04-25 18:37:18,20.5,50.25,6.5
2019-04-25 18:37:18,20.44,50.25
2019-04-25 18:37:19,20.5,50.0,3.9
2019-04-25 18:37:19,20.5,50.0
2019-04-25 18:37:19,20.5,49.75,4.5
